Week,Chg,"Player
Sort First:    Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FPts
1,,Cooper Kupp,LAR,BUF,0,0,0.0,8,106,1.0,16.6
1,,Ja'Marr Chase,CIN,PIT,0,0,0.0,8,98,1.0,15.8
1,,Deebo Samuel,SF,@CHI,6,32,0.0,5,65,1.0,15.7
1,,A.J. Brown,PHI,@DET,0,0,0.0,7,95,1.0,15.5
1,,Davante Adams,LV,@LAC,0,0,0.0,7,93,1.0,15.3
1,,Justin Jefferson,MIN,GB,0,0,0.0,6,93,1.0,15.3
1,,Marquise Brown,ARI,KC,2,9,0.0,6,82,1.0,15.1
1,,Keenan Allen,LAC,LV,0,0,0.0,8,87,1.0,14.7
1,,Courtland Sutton,DEN,@SEA,0,0,0.0,8,87,1.0,14.7
1,,Mike Evans,TB,@DAL,0,0,0.0,8,86,1.0,14.6
1,,Tyreek Hill,MIA,NE,2,9,0.0,5,73,1.0,14.2
1,,CeeDee Lamb,DAL,TB,0,0,0.0,6,82,1.0,14.2
1,,Darnell Mooney,CHI,SF,0,0,0.0,6,82,1.0,14.2
1,,Michael Pittman Jr.,IND,@HOU,0,0,0.0,6,82,1.0,14.2
1,,Amon-Ra St. Brown,DET,PHI,0,0,0.0,7,82,1.0,14.2
1,,Mike Williams,LAC,LV,0,0,0.0,6,79,1.0,13.9
1,,Rashod Bateman,BAL,@NYJ,0,0,0.0,6,78,1.0,13.8
1,,Allen Robinson,LAR,BUF,0,0,0.0,5,78,1.0,13.8
1,,Robert Woods,TEN,NYG,0,0,0.0,6,78,1.0,13.8
1,,Brandin Cooks,HOU,IND,0,0,0.0,6,77,1.0,13.7
1,,Gabe Davis,BUF,@LAR,0,0,0.0,6,77,1.0,13.7
1,,Terry McLaurin,WAS,JAC,0,0,0.0,6,77,1.0,13.7
1,,DK Metcalf,SEA,DEN,0,0,0.0,5,77,1.0,13.7
1,,Stefon Diggs,BUF,@LAR,0,0,0.0,7,75,1.0,13.5
1,,Tee Higgins,CIN,PIT,0,0,0.0,6,75,1.0,13.5
1,,Christian Kirk,JAC,@WAS,0,0,0.0,6,73,1.0,13.3
1,,Michael Thomas,NO,@ATL,0,0,0.0,5,73,1.0,13.3
