Week,Chg,Player,Team,Opp,Att,Yard,TD,Rec,Yard,TD,FPts
1,,Justin Jefferson,MIN,TB,0,0,0.0,7,103,0.8,15.1
1,,Tyreek Hill,MIA,@LAC,0,0,0.0,7,99,0.8,14.7
1,,Davante Adams,LV,@DEN,0,0,0.0,7,98,0.8,14.6
1,,Ja'Marr Chase,CIN,@CLE,0,0,0.0,7,96,0.8,14.4
1,,Chris Olave,NO,TEN,0,0,0.0,7,93,0.6,12.9
1,,CeeDee Lamb,DAL,@NYG,0,0,0.0,7,92,0.6,12.8
1,,Garrett Wilson,NYJ,BUF,0,0,0.0,7,85,0.7,12.7
1,,Jaylen Waddle,MIA,@LAC,0,0,0.0,6,84,0.6,12.0
1,,A.J. Brown,PHI,@NE,0,0,0.0,6,83,0.6,11.9
1,,DK Metcalf,SEA,LAR,0,0,0.0,6,80,0.6,11.6
1,,Stefon Diggs,BUF,@NYJ,0,0,0.0,6,77,0.6,11.3
1,,Deebo Samuel,SF,@PIT,4,19,0.1,5,64,0.4,11.3
1,,Keenan Allen,LAC,MIA,0,0,0.0,7,82,0.5,11.2
1,,Amon-Ra St. Brown,DET,@KC,0,0,0.0,7,82,0.5,11.2
1,,Calvin Ridley,JAC,@IND,0,0,0.0,6,80,0.5,11.0
1,,Tyler Lockett,SEA,LAR,0,0,0.0,6,73,0.6,10.9
1,,Tee Higgins,CIN,@CLE,0,0,0.0,5,73,0.5,10.3
1,,Amari Cooper,CLE,CIN,0,0,0.0,6,72,0.5,10.2
1,,Terry McLaurin,WAS,ARI,0,0,0.0,5,71,0.5,10.1
1,,Brandon Aiyuk,SF,@PIT,0,0,0.0,5,72,0.4,9.6
1,,Mike Williams,LAC,MIA,0,0,0.0,5,71,0.4,9.5
1,,DeAndre Hopkins,TEN,@NO,0,0,0.0,5,70,0.4,9.4
1,,Diontae Johnson,PIT,SF,0,0,0.0,6,70,0.4,9.4
1,,Odell Beckham Jr.,BAL,HOU,0,0,0.0,5,69,0.4,9.3
1,,Zay Flowers,BAL,HOU,0,0,0.0,5,67,0.4,9.1
1,,D.J. Moore,CHI,GB,0,0,0.0,5,67,0.4,9.1
1,,Courtland Sutton,DEN,LV,0,0,0.0,5,67,0.4,9.1
1,,Jahan Dotson,WAS,ARI,0,0,0.0,5,66,0.4,9.0
1,,Drake London,ATL,CAR,0,0,0.0,5,66,0.4,9.0
1,,Marquise Brown,ARI,@WAS,1,3,0.0,5,68,0.3,8.9
1,,Chris Godwin,TB,@MIN,0,0,0.0,5,65,0.4,8.9
1,,George Pickens,PIT,SF,0,0,0.0,5,65,0.4,8.9
1,,JuJu Smith-Schuster,NE,PHI,0,0,0.0,5,65,0.4,8.9
1,,Mike Evans,TB,@MIN,0,0,0.0,5,64,0.4,8.8
1,,Christian Kirk,JAC,@IND,0,0,0.0,5,63,0.4,8.7
1,,DeVonta Smith,PHI,@NE,0,0,0.0,5,62,0.4,8.6
1,,Gabe Davis,BUF,@NYJ,0,0,0.0,4,58,0.4,8.2
1,,Van Jefferson,LAR,@SEA,0,0,0.0,5,63,0.3,8.1
1,,Nico Collins,HOU,@BAL,0,0,0.0,5,61,0.3,7.9
1,,Michael Thomas,NO,TEN,0,0,0.0,4,52,0.4,7.6
1,,Treylon Burks,TEN,@NO,0,0,0.0,4,55,0.3,7.3
1,,Brandin Cooks,DAL,@NYG,0,0,0.0,4,55,0.3,7.3
1,,Jonathan Mingo,CAR,@ATL,0,0,0.0,4,55,0.3,7.3
1,,Skyy Moore,KC,DET,0,0,0.0,4,55,0.3,7.3
1,,Michael Pittman Jr.,IND,JAC,0,0,0.0,4,55,0.3,7.3
1,,Elijah Moore,CLE,CIN,0,0,0.0,4,53,0.3,7.1
1,,Romeo Doubs,GB,@CHI,0,0,0.0,4,50,0.3,6.8
1,,Adam Thielen,CAR,@ATL,0,0,0.0,4,50,0.3,6.8
1,,Marvin Mims,DEN,LV,0,0,0.0,4,49,0.3,6.7
1,,Tyler Boyd,CIN,@CLE,0,0,0.0,4,48,0.3,6.6
2,,Justin Jefferson,MIN,@PHI,0,0,0.0,8,105,0.8,15.3
2,,Tyreek Hill,MIA,@NE,0,0,0.0,7,94,0.8,14.2
2,,Ja'Marr Chase,CIN,BAL,0,0,0.0,6,90,0.7,13.2
2,,Keenan Allen,LAC,@TEN,0,0,0.0,8,94,0.6,13.0
2,,Davante Adams,LV,@BUF,0,0,0.0,6,87,0.7,12.9
2,,Chris Olave,NO,@CAR,0,0,0.0,7,92,0.6,12.8
2,,Amon-Ra St. Brown,DET,SEA,0,0,0.0,8,89,0.6,12.5
2,,Calvin Ridley,JAC,KC,0,0,0.0,7,88,0.6,12.4
2,,Stefon Diggs,BUF,LV,0,0,0.0,6,83,0.6,11.9
2,,DK Metcalf,SEA,@DET,0,0,0.0,6,81,0.6,11.7
2,,A.J. Brown,PHI,MIN,0,0,0.0,5,80,0.6,11.6
2,,CeeDee Lamb,DAL,NYJ,0,0,0.0,7,86,0.5,11.6
2,,Deebo Samuel,SF,@LAR,3,11,0.1,5,62,0.4,10.3
2,,Jaylen Waddle,MIA,@NE,0,0,0.0,5,73,0.5,10.3
2,,Tee Higgins,CIN,BAL,0,0,0.0,5,72,0.5,10.2
2,,Brandon Aiyuk,SF,@LAR,0,0,0.0,6,77,0.4,10.1
2,,Mike Williams,LAC,@TEN,0,0,0.0,5,76,0.4,10.0
2,,Treylon Burks,TEN,LAC,0,0,0.0,5,75,0.4,9.9
2,,Terry McLaurin,WAS,@DEN,0,0,0.0,5,66,0.5,9.6
2,,Garrett Wilson,NYJ,@DAL,0,0,0.0,6,72,0.4,9.6
2,,George Pickens,PIT,CLE,0,0,0.0,5,71,0.4,9.5
2,,Tyler Lockett,SEA,@DET,0,0,0.0,5,62,0.5,9.2
2,,Chris Godwin,TB,CHI,0,0,0.0,5,67,0.4,9.1
2,,Jerry Jeudy,DEN,WAS,0,0,0.0,5,67,0.4,9.1
2,,Mike Evans,TB,CHI,0,0,0.0,5,66,0.4,9.0
2,,Zay Flowers,BAL,@CIN,0,0,0.0,5,66,0.4,9.0
2,,DeVonta Smith,PHI,MIN,0,0,0.0,5,65,0.4,8.9
2,,Puka Nacua,LAR,SF,0,0,0.0,6,70,0.3,8.8
2,,Nico Collins,HOU,IND,0,0,0.0,5,68,0.3,8.6
2,,Jahan Dotson,WAS,@DEN,0,0,0.0,4,62,0.4,8.6
2,,D.J. Moore,CHI,@TB,0,0,0.0,5,62,0.4,8.6
2,,Michael Pittman Jr.,IND,@HOU,0,0,0.0,5,66,0.3,8.4
2,,Odell Beckham Jr.,BAL,@CIN,0,0,0.0,5,59,0.4,8.3
2,,Elijah Moore,CLE,@PIT,1,6,0.0,5,59,0.3,8.3
2,,Michael Thomas,NO,@CAR,0,0,0.0,5,59,0.4,8.3
2,,Gabe Davis,BUF,LV,0,0,0.0,4,58,0.4,8.2
2,,Drake London,ATL,GB,0,0,0.0,5,61,0.3,7.9
2,,Kendrick Bourne,NE,MIA,0,0,0.0,4,56,0.3,7.4
2,,Courtland Sutton,DEN,WAS,0,0,0.0,4,56,0.3,7.4
2,,Marquise Brown,ARI,NYG,1,4,0.0,4,51,0.3,7.3
2,,JuJu Smith-Schuster,NE,MIA,0,0,0.0,4,55,0.3,7.3
2,,DeAndre Hopkins,TEN,LAC,0,0,0.0,4,53,0.3,7.1
2,,Christian Kirk,JAC,KC,0,0,0.0,4,53,0.3,7.1
2,,Romeo Doubs,GB,@ATL,0,0,0.0,4,52,0.3,7.0
2,,Tutu Atwell,LAR,SF,0,0,0.0,5,57,0.2,6.9
2,,Jonathan Mingo,CAR,NO,0,0,0.0,4,51,0.3,6.9
2,,Kadarius Toney,KC,@JAC,0,0,0.0,4,49,0.3,6.7
2,,Zay Jones,JAC,KC,0,0,0.0,5,48,0.3,6.6
2,,Adam Thielen,CAR,NO,0,0,0.0,4,47,0.3,6.5
2,,Donovan Peoples-Jones,CLE,@PIT,0,0,0.0,3,45,0.3,6.3
3,,Justin Jefferson,MIN,LAC,0,0,0.0,8,107,0.9,16.1
3,,Tyreek Hill,MIA,DEN,0,0,0.0,7,97,0.8,14.5
3,,Amon-Ra St. Brown,DET,ATL,0,0,0.0,8,93,0.6,12.9
3,,Davante Adams,LV,PIT,0,0,0.0,6,86,0.7,12.8
3,,Keenan Allen,LAC,@MIN,0,0,0.0,7,90,0.6,12.6
3,,CeeDee Lamb,DAL,@ARI,0,0,0.0,7,90,0.6,12.6
3,,Chris Olave,NO,@GB,0,0,0.0,6,87,0.6,12.3
3,,Deebo Samuel,SF,NYG,3,13,0.1,6,79,0.4,12.2
3,,A.J. Brown,PHI,@TB,0,0,0.0,6,83,0.6,11.9
3,,Stefon Diggs,BUF,@WAS,0,0,0.0,6,82,0.6,11.8
3,,DK Metcalf,SEA,CAR,0,0,0.0,6,81,0.6,11.7
3,,Calvin Ridley,JAC,HOU,0,0,0.0,6,84,0.5,11.4
3,,Ja'Marr Chase,CIN,LAR,0,0,0.0,6,80,0.5,11.0
3,,Puka Nacua,LAR,@CIN,0,0,0.0,7,83,0.4,10.7
3,,Mike Williams,LAC,@MIN,0,0,0.0,5,77,0.5,10.7
3,,Mike Evans,TB,PHI,0,0,0.0,6,72,0.5,10.2
3,,Terry McLaurin,WAS,BUF,0,0,0.0,5,71,0.5,10.1
3,,Tee Higgins,CIN,LAR,0,0,0.0,5,70,0.5,10.0
3,,George Pickens,PIT,@LV,0,0,0.0,5,75,0.4,9.9
3,,Tyler Lockett,SEA,CAR,0,0,0.0,5,67,0.5,9.7
3,,Nico Collins,HOU,@JAC,0,0,0.0,6,72,0.4,9.6
3,,Zay Flowers,BAL,IND,0,0,0.0,6,70,0.4,9.4
3,,Garrett Wilson,NYJ,NE,0,0,0.0,6,70,0.4,9.4
3,,DeVonta Smith,PHI,@TB,0,0,0.0,5,67,0.4,9.1
3,,Jerry Jeudy,DEN,@MIA,0,0,0.0,5,66,0.4,9.0
3,,D.J. Moore,CHI,@KC,0,0,0.0,5,66,0.4,9.0
3,,Christian Kirk,JAC,HOU,0,0,0.0,5,65,0.4,8.9
3,,Amari Cooper,CLE,TEN,0,0,0.0,5,64,0.4,8.8
3,,Gabe Davis,BUF,@WAS,0,0,0.0,4,64,0.4,8.8
3,,DeAndre Hopkins,TEN,@CLE,0,0,0.0,5,64,0.4,8.8
3,,Michael Pittman Jr.,IND,@BAL,0,0,0.0,6,69,0.3,8.7
3,,Elijah Moore,CLE,TEN,1,6,0.0,5,57,0.3,8.1
3,,Chris Godwin,TB,PHI,0,0,0.0,5,62,0.3,8.0
3,,Drake London,ATL,@DET,0,0,0.0,5,62,0.3,8.0
3,,Michael Thomas,NO,@GB,0,0,0.0,5,62,0.3,8.0
3,,Tutu Atwell,LAR,@CIN,0,0,0.0,5,67,0.2,7.9
3,,Adam Thielen,CAR,@SEA,0,0,0.0,5,60,0.3,7.8
3,,Marquise Brown,ARI,DAL,1,4,0.0,5,51,0.3,7.3
3,,Jahan Dotson,WAS,BUF,0,0,0.0,4,55,0.3,7.3
3,,Courtland Sutton,DEN,@MIA,0,0,0.0,4,55,0.3,7.3
3,,Jordan Addison,MIN,LAC,0,0,0.0,4,54,0.3,7.2
3,,Treylon Burks,TEN,@CLE,0,0,0.0,4,54,0.3,7.2
3,,Jakobi Meyers,LV,PIT,0,0,0.0,5,52,0.3,7.0
3,,Josh Reynolds,DET,ATL,0,0,0.0,4,57,0.2,6.9
3,,Tank Dell,HOU,@JAC,0,0,0.0,4,54,0.2,6.6
3,,Romeo Doubs,GB,NO,0,0,0.0,4,48,0.3,6.6
3,,Kendrick Bourne,NE,@NYJ,0,0,0.0,4,46,0.3,6.4
3,,Kadarius Toney,KC,CHI,0,0,0.0,4,46,0.3,6.4
3,,Jayden Reed,GB,NO,0,0,0.0,3,45,0.3,6.3
3,,Tyler Boyd,CIN,LAR,0,0,0.0,4,44,0.3,6.2
4,,Justin Jefferson,MIN,@CAR,0,0,0.0,8,105,0.9,15.9
4,,Tyreek Hill,MIA,@BUF,0,0,0.0,7,97,0.8,14.5
4,,Keenan Allen,LAC,LV,0,0,0.0,8,98,0.7,14.0
4,,Ja'Marr Chase,CIN,@TEN,0,0,0.0,7,98,0.7,14.0
4,,Davante Adams,LV,@LAC,0,0,0.0,7,95,0.7,13.7
4,,Amon-Ra St. Brown,DET,@GB,0,0,0.0,8,91,0.6,12.7
4,,Stefon Diggs,BUF,MIA,0,0,0.0,7,89,0.6,12.5
4,,A.J. Brown,PHI,WAS,0,0,0.0,6,87,0.6,12.3
4,,Chris Olave,NO,TB,0,0,0.0,6,83,0.6,11.9
4,,DK Metcalf,SEA,@NYG,0,0,0.0,6,80,0.6,11.6
4,,Calvin Ridley,JAC,ATL,0,0,0.0,6,84,0.5,11.4
4,,CeeDee Lamb,DAL,NE,0,0,0.0,7,82,0.5,11.2
4,,Tee Higgins,CIN,@TEN,0,0,0.0,6,76,0.5,10.6
4,,Puka Nacua,LAR,@IND,0,0,0.0,7,82,0.4,10.6
4,,Mike Evans,TB,@NO,0,0,0.0,6,73,0.5,10.3
4,,Brandon Aiyuk,SF,ARI,0,0,0.0,6,77,0.4,10.1
4,,Terry McLaurin,WAS,@PHI,0,0,0.0,5,70,0.5,10.0
4,,Jaylen Waddle,MIA,@BUF,0,0,0.0,6,76,0.4,10.0
4,,Jerry Jeudy,DEN,@CHI,0,0,0.0,5,69,0.5,9.9
4,,Deebo Samuel,SF,ARI,3,13,0.1,5,62,0.3,9.9
4,,Tyler Lockett,SEA,@NYG,0,0,0.0,5,67,0.5,9.7
4,,George Pickens,PIT,@HOU,0,0,0.0,5,73,0.4,9.7
4,,Zay Flowers,BAL,@CLE,0,0,0.0,6,74,0.3,9.2
4,,Courtland Sutton,DEN,@CHI,0,0,0.0,5,68,0.4,9.2
4,,DeAndre Hopkins,TEN,CIN,0,0,0.0,5,67,0.4,9.1
4,,Josh Palmer,LAC,LV,0,0,0.0,5,67,0.4,9.1
4,,DeVonta Smith,PHI,WAS,0,0,0.0,5,67,0.4,9.1
4,,Christian Kirk,JAC,ATL,0,0,0.0,5,66,0.4,9.0
4,,D.J. Moore,CHI,DEN,0,0,0.0,5,65,0.4,8.9
4,,Nico Collins,HOU,PIT,0,0,0.0,6,69,0.3,8.7
4,,Michael Pittman Jr.,IND,LAR,0,0,0.0,6,69,0.3,8.7
4,,Adam Thielen,CAR,MIN,0,0,0.0,5,63,0.4,8.7
4,,Garrett Wilson,NYJ,KC,0,0,0.0,5,63,0.4,8.7
4,,Gabe Davis,BUF,MIA,0,0,0.0,4,61,0.4,8.5
4,,Tutu Atwell,LAR,@IND,0,0,0.0,5,66,0.3,8.4
4,,Tank Dell,HOU,PIT,0,0,0.0,5,65,0.3,8.3
4,,Amari Cooper,CLE,BAL,0,0,0.0,5,64,0.3,8.2
4,,Marquise Brown,ARI,@SF,0,0,0.0,5,57,0.4,8.1
4,,Jakobi Meyers,LV,@LAC,0,0,0.0,6,62,0.3,8.0
4,,Chris Godwin,TB,@NO,0,0,0.0,5,60,0.3,7.8
4,,Drake London,ATL,@JAC,0,0,0.0,5,60,0.3,7.8
4,,Christian Watson,GB,DET,0,0,0.0,4,57,0.3,7.5
4,,Elijah Moore,CLE,BAL,1,6,0.0,4,53,0.2,7.1
4,,Jordan Addison,MIN,@CAR,0,0,0.0,4,52,0.3,7.0
4,,Kendrick Bourne,NE,@DAL,0,0,0.0,4,49,0.3,6.7
4,,Romeo Doubs,GB,DET,0,0,0.0,4,43,0.4,6.7
4,,Michael Thomas,NO,TB,0,0,0.0,4,52,0.2,6.4
4,,Jayden Reed,GB,DET,0,0,0.0,3,45,0.3,6.3
4,,Tyler Boyd,CIN,@TEN,0,0,0.0,4,44,0.3,6.2
4,,Robert Woods,HOU,PIT,0,0,0.0,4,44,0.3,6.2
5,,Justin Jefferson,MIN,KC,0,0,0.0,7,99,0.8,14.7
5,,Tyreek Hill,MIA,NYG,0,0,0.0,7,95,0.8,14.3
5,,Davante Adams,LV,GB,0,0,0.0,7,92,0.6,12.8
5,,A.J. Brown,PHI,@LAR,0,0,0.0,6,92,0.6,12.8
5,,Ja'Marr Chase,CIN,@ARI,0,0,0.0,7,88,0.6,12.4
5,,Stefon Diggs,BUF,JAC,0,0,0.0,7,88,0.6,12.4
5,,CeeDee Lamb,DAL,@SF,0,0,0.0,6,80,0.5,11.0
5,,Chris Olave,NO,@NE,0,0,0.0,6,77,0.5,10.7
5,,Terry McLaurin,WAS,CHI,0,0,0.0,5,76,0.5,10.6
5,,Deebo Samuel,SF,DAL,3,15,0.1,5,65,0.3,10.4
5,,Christian Kirk,JAC,@BUF,0,0,0.0,7,76,0.4,10.0
5,,D.J. Moore,CHI,@WAS,0,0,0.0,5,68,0.5,9.8
5,,Nico Collins,HOU,@ATL,0,0,0.0,6,72,0.4,9.6
5,,Puka Nacua,LAR,PHI,0,0,0.0,6,77,0.3,9.5
5,,Calvin Ridley,JAC,@BUF,0,0,0.0,5,64,0.5,9.4
5,,DeVonta Smith,PHI,@LAR,0,0,0.0,5,70,0.4,9.4
5,,Cooper Kupp,LAR,PHI,0,0,0.0,5,63,0.5,9.3
5,,Brandon Aiyuk,SF,DAL,0,0,0.0,5,74,0.3,9.2
5,,Garrett Wilson,NYJ,@DEN,0,0,0.0,5,68,0.4,9.2
5,,George Pickens,PIT,BAL,0,0,0.0,5,67,0.4,9.1
5,,DeAndre Hopkins,TEN,@IND,0,0,0.0,5,66,0.4,9.0
5,,Jaylen Waddle,MIA,NYG,0,0,0.0,5,66,0.4,9.0
5,,Romeo Doubs,GB,@LV,0,0,0.0,5,65,0.4,8.9
5,,Marquise Brown,ARI,CIN,0,0,0.0,6,64,0.4,8.8
5,,Zay Flowers,BAL,@PIT,1,5,0.0,6,65,0.3,8.8
5,,Jakobi Meyers,LV,GB,0,0,0.0,6,68,0.3,8.6
5,,Michael Pittman Jr.,IND,TEN,0,0,0.0,5,67,0.3,8.5
5,,Courtland Sutton,DEN,NYJ,0,0,0.0,5,61,0.4,8.5
5,,Gabe Davis,BUF,JAC,0,0,0.0,4,58,0.4,8.2
5,,Josh Reynolds,DET,CAR,0,0,0.0,4,57,0.4,8.1
5,,Christian Watson,GB,@LV,0,0,0.0,5,63,0.3,8.1
5,,Tank Dell,HOU,@ATL,0,0,0.0,5,60,0.3,7.8
5,,Adam Thielen,CAR,@DET,0,0,0.0,6,60,0.3,7.8
5,,Jerry Jeudy,DEN,NYJ,0,0,0.0,5,59,0.3,7.7
5,,Jordan Addison,MIN,KC,0,0,0.0,4,50,0.3,6.8
5,,Drake London,ATL,HOU,0,0,0.0,4,50,0.3,6.8
5,,Tyler Boyd,CIN,@ARI,0,0,0.0,4,49,0.3,6.7
5,,Jayden Reed,GB,@LV,0,0,0.0,4,48,0.3,6.6
5,,Curtis Samuel,WAS,CHI,2,7,0.0,4,46,0.2,6.5
5,,Michael Thomas,NO,@NE,0,0,0.0,4,53,0.2,6.5
5,,Kendrick Bourne,NE,NO,0,0,0.0,4,46,0.3,6.4
5,,Michael Gallup,DAL,@SF,0,0,0.0,3,45,0.3,6.3
5,,Marvin Mims,DEN,NYJ,0,0,0.0,3,43,0.3,6.1
