Week,Player,Game,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
1,Jayden Reed,GB@PHI,28.00,0,0,0,0,0,0,1,33,1,0,4,138,1,0,0,0
1,Allen Lazard,NYJ@SF,20.00,0,0,0,0,0,0,0,0,0,0,6,89,2,0,0,0
1,Tyreek Hill,JAX@MIA,19.00,0,0,0,0,0,0,0,0,0,0,7,130,1,0,0,0
1,Jameson Williams,LA@DET,19.00,0,0,0,0,0,0,1,13,0,0,5,121,1,0,0,0
1,Mike Evans,WAS@TB,18.00,0,0,0,0,0,0,0,0,0,0,5,61,2,0,0,0
1,Cooper Kupp,LA@DET,18.00,0,0,0,0,0,0,2,10,0,0,14,110,1,0,0,0
1,Alec Pierce,HOU@IND,18.00,0,0,0,0,0,0,0,0,0,0,3,125,1,0,0,0
1,Xavier Worthy,BAL@KC,18.00,0,0,0,0,0,0,1,21,1,0,2,47,1,0,0,0
1,A.J. Brown,GB@PHI,17.00,0,0,0,0,0,0,0,0,0,0,5,119,1,0,0,0
1,Stefon Diggs,HOU@IND,15.00,0,0,0,0,0,0,1,6,0,0,6,33,2,0,0,0
1,Chris Godwin,WAS@TB,14.00,0,0,0,0,0,0,0,0,0,0,8,83,1,0,0,0
1,Deebo Samuel,NYJ@SF,13.00,0,0,0,0,0,0,8,23,1,0,5,54,0,0,0,0
1,Rashid Shaheed,CAR@NO,13.00,0,0,0,0,0,0,0,0,0,0,3,73,1,0,0,0
1,Nico Collins,HOU@IND,11.00,0,0,0,0,0,0,0,0,0,0,6,117,0,0,0,0
1,Ashton Dulin,HOU@IND,11.00,0,0,0,0,0,0,0,0,0,0,1,54,1,0,0,0
1,Justin Jefferson,MIN@NYG,11.00,0,0,0,0,0,0,0,0,0,0,4,59,1,0,0,0
1,Brandin Cooks,DAL@CLE,10.00,0,0,0,0,0,0,1,5,0,0,4,40,1,0,0,0
1,Rashee Rice,BAL@KC,10.00,0,0,0,0,0,0,0,0,0,0,7,103,0,0,0,0
1,Khalil Shakir,ARI@BUF,10.00,0,0,0,0,0,0,0,0,0,0,3,42,1,0,0,0
1,Brian Thomas,JAX@MIA,10.00,0,0,0,0,0,0,0,0,0,0,4,47,1,0,0,0
1,Jaylen Waddle,JAX@MIA,10.00,0,0,0,0,0,0,1,3,0,0,5,109,0,0,0,0
1,Ladd McConkey,LV@LAC,9.00,0,0,0,0,0,0,0,0,0,0,5,39,1,0,0,0
1,Jalen McMillan,WAS@TB,9.00,0,0,0,0,0,0,0,0,0,0,1,32,1,0,0,0
1,Mack Hollins,ARI@BUF,8.00,0,0,0,0,0,0,0,0,0,0,2,25,1,0,0,0
1,Jerry Jeudy,DAL@CLE,8.00,0,0,0,0,0,0,0,0,0,0,3,25,1,0,0,0
1,CeeDee Lamb,DAL@CLE,8.00,0,0,0,0,0,0,3,25,0,0,5,61,0,0,0,0
1,Jalen Nailor,MIN@NYG,8.00,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0
1,George Pickens,PIT@ATL,8.00,0,0,0,0,0,0,1,-10,0,0,6,85,0,0,0,0
1,DeVonta Smith,GB@PHI,8.00,0,0,0,0,0,0,0,0,0,0,7,84,0,0,0,0
1,Tyler Johnson,LA@DET,7.00,0,0,0,0,0,0,0,0,0,0,5,79,0,0,0,0
1,Tyler Lockett,DEN@SEA,7.00,0,0,0,0,0,0,0,0,0,0,6,77,0,0,0,0
1,Christian Watson,GB@PHI,7.00,0,0,0,0,0,0,0,0,0,0,3,13,1,0,0,0
1,Ja'Marr Chase,NE@CIN,6.00,0,0,0,0,0,0,0,0,0,0,6,62,0,0,0,0
1,Gabriel Davis,JAX@MIA,6.00,0,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0
1,Jauan Jennings,NYJ@SF,6.00,0,0,0,0,0,0,0,0,0,0,5,64,0,0,0,0
1,Jakobi Meyers,LV@LAC,6.00,0,0,0,0,0,0,1,3,0,0,3,61,0,0,0,0
1,Malik Nabers,MIN@NYG,6.00,0,0,0,0,0,0,0,0,0,0,5,66,0,0,0,0
1,Garrett Wilson,NYJ@SF,6.00,0,0,0,0,0,0,0,0,0,0,6,60,0,0,0,0
1,Michael Wilson,ARI@BUF,6.00,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0
1,Davante Adams,LV@LAC,5.00,0,0,0,0,0,0,0,0,0,0,5,59,0,0,0,0
1,Rashod Bateman,BAL@KC,5.00,0,0,0,0,0,0,0,0,0,0,2,53,0,0,0,0
1,Keon Coleman,ARI@BUF,5.00,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0
1,Nathaniel Dell,HOU@IND,5.00,0,0,0,0,0,0,2,19,0,0,3,40,0,0,0,0
1,Romeo Doubs,GB@PHI,5.00,0,0,0,0,0,0,0,0,0,0,4,50,0,0,0,0
1,Ray Ray McCloud,PIT@ATL,5.00,0,0,0,0,0,0,0,0,0,0,4,52,0,0,0,0
1,Calvin Ridley,TEN@CHI,5.00,0,0,0,0,0,0,0,0,0,0,3,50,0,0,0,0
1,Wan'Dale Robinson,MIN@NYG,5.00,0,0,0,0,0,0,1,14,0,0,6,44,0,0,0,0
1,Greg Dortch,ARI@BUF,4.00,0,0,0,0,0,0,1,4,0,0,6,47,0,0,0,0
1,Zay Flowers,BAL@KC,4.00,0,0,0,0,0,0,2,14,0,0,6,37,0,0,0,0
1,D.J. Moore,TEN@CHI,4.00,0,0,0,0,0,0,1,14,0,0,5,36,0,0,0,0
1,Josh Reynolds,DEN@SEA,4.00,0,0,0,0,0,0,0,0,0,0,5,45,0,0,0,0
1,Demarcus Robinson,LA@DET,4.00,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
1,Adam Thielen,CAR@NO,4.00,0,0,0,0,0,0,0,0,0,0,3,49,0,0,0,0
1,Jordan Addison,MIN@NYG,3.00,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
1,Quentin Johnston,LV@LAC,3.00,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0
1,Christian Kirk,JAX@MIA,3.00,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0
1,Xavier Legette,CAR@NO,3.00,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0
1,Jonathan Mingo,CAR@NO,3.00,0,0,0,0,0,0,1,3,0,0,2,40,0,0,1,0
1,Puka Nacua,LA@DET,3.00,0,0,0,0,0,0,1,7,0,0,4,35,0,0,0,0
1,Michael Pittman,HOU@IND,3.00,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0
1,Courtland Sutton,DEN@SEA,3.00,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0
1,Devaughn Vele,DEN@SEA,3.00,0,0,0,0,0,0,0,0,0,0,8,39,0,0,0,0
1,Brandon Aiyuk,NYJ@SF,2.00,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
1,Keenan Allen,TEN@CHI,2.00,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0
1,Andrei Iosivas,NE@CIN,2.00,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
1,D.K. Metcalf,DEN@SEA,2.00,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
