Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Tm,Actual_Fantasy_Points,Predicted_Fantasy_Points
A.J. Brown*,PHI,184.0,175.62397734178967
AJ Dillon,GNB,96.0,65.48376941434312
Aaron Jones,GNB,105.0,98.80124450122261
Adam Prentice,NOR,0.0,31.84565118804292
Alec Pierce,IND,63.0,77.07303254500425
Alex Armah,WAS,1.0,29.932730618215896
Alexander Mattison,MIN,103.0,39.820379191547865
Alvin Kamara,NOR,158.0,87.48668873658994
Ameer Abdullah,LVR,22.0,50.69586162794015
Andre Baccellia,ARI,0.0,37.056042904624384
Anthony McFarland Jr.,PIT,1.0,31.354863964860645
Antonio Gibson,WAS,79.0,73.57019996050353
Austin Ekeler,LAC,134.0,176.7585579685542
Austin Trammell,LAR,1.0,32.549908596637366
Bailey Zappe,NWE,69.0,30.243631104310236
Ben Skowronek,LAR,14.0,71.55331609914758
Blake Bell,KAN,7.0,26.36927936202827
Boston Scott,PHI,12.0,33.920078106036904
Brandon Aiyuk,SFO,174.0,122.23867235317583
Brandon Bolden,LVR,11.0,32.08065349520886
Brandon Johnson,DEN,54.0,36.55958793401053
Breece Hall,NYJ,215.0,49.61227652867172
Brevin Jordan,HOU,34.0,52.01921455421389
Brian Robinson Jr.,WAS,162.0,34.46498184109163
Britain Covey,PHI,4.0,29.932730618215896
Brock Wright,DET,15.0,34.91365427137514
Brycen Hopkins,LAR,8.0,38.99605176666546
C.J. Beathard,JAX,21.0,29.932730618215896
C.J. Uzomah,NYJ,12.0,44.4473047144497
Cade Otton,TAM,70.0,80.54987320710411
Cedrick Wilson Jr.,MIA,48.0,42.94718201613547
Charlie Kolar,BAL,15.0,34.6761763288945
Charlie Woerner,SFO,3.0,31.005670225783344
Chase Claypool,2TM,14.0,93.73998995399475
Chigoziem Okonkwo,TEN,59.0,59.357296012012235
Chris Evans,CIN,1.0,28.295239720050525
Chris Godwin,TAM,126.0,113.16190978529904
Chris Olave,NOR,144.0,93.31792564152498
Christian Kirk,JAX,93.0,138.0308894413737
Christian Watson,GNB,73.0,76.45364352712143
Chuba Hubbard,CAR,144.0,43.40193266965882
Clyde Edwards-Helaire,KAN,53.0,36.7993315855774
Colby Parkinson,SEA,37.0,50.72438650801729
Cole Kmet,CHI,108.0,79.75500165383585
Cole Turner,WAS,12.0,36.27432245934701
Connor Heyward,PIT,17.0,39.54850186680024
Cooper Kupp,LAR,105.0,102.44197310637269
Cooper Rush,DAL,3.0,29.932730618215896
Cordarrelle Patterson,ATL,28.0,56.37930056287331
Corey Clement,ARI,0.0,35.33345193976961
Courtland Sutton,DEN,131.0,86.74939033331968
Craig Reynolds,DET,25.0,39.00456236072411
Curtis Samuel,WAS,95.0,98.5685355395049
D'Wayne Eskridge,SEA,1.0,39.37255682195939
DJ Turner,LVR,0.0,30.440837055399275
