Week,Chg,Player,Team,Opp,Att_Predicted,Yard,TD_Predicted,Rec_Predicted,Yard.1,TD.1_Predicted,FPts,Game,Pts*,Att_Actual,Cmp,Yds,TD_Actual,Int,2Pt,Att.1,Yds.1,TD.1_Actual,2Pt.1,Rec_Actual,Yds.2,TD.2,2Pt.2,FL,TD.3,Net_score
1,,Tyreek Hill,MIA,JAC,0,0,0.0,7,98,0.8,14.6,JAX@MIA,19.0,0,0,0,0,0,0,0,0,0,0,7,130,1,0,0,0,4.4
1,,Justin Jefferson,MIN,@NYG,0,0,0.0,7,92,0.6,12.8,MIN@NYG,11.0,0,0,0,0,0,0,0,0,0,0,4,59,1,0,0,0,-1.8000000000000007
1,,CeeDee Lamb,DAL,@CLE,0,0,0.0,7,90,0.6,12.6,DAL@CLE,8.0,0,0,0,0,0,0,3,25,0,0,5,61,0,0,0,0,-4.6
1,,Deebo Samuel,SF,NYJ,3,11,0.2,5,70,0.5,12.3,NYJ@SF,13.0,0,0,0,0,0,0,8,23,1,0,5,54,0,0,0,0,0.6999999999999993
1,,Davante Adams,LV,@LAC,0,0,0.0,7,87,0.5,11.7,LV@LAC,5.0,0,0,0,0,0,0,0,0,0,0,5,59,0,0,0,0,-6.699999999999999
1,,Malik Nabers,NYG,MIN,0,0,0.0,7,87,0.5,11.7,MIN@NYG,6.0,0,0,0,0,0,0,0,0,0,0,5,66,0,0,0,0,-5.699999999999999
1,,Amon-Ra St. Brown,DET,LAR,0,0,0.0,7,87,0.5,11.7,LA@DET,1.0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,-10.7
1,,Garrett Wilson,NYJ,@SF,0,0,0.0,6,81,0.6,11.7,NYJ@SF,6.0,0,0,0,0,0,0,0,0,0,0,6,60,0,0,0,0,-5.699999999999999
1,,A.J. Brown,PHI,GB,0,0,0.0,6,85,0.5,11.5,GB@PHI,17.0,0,0,0,0,0,0,0,0,0,0,5,119,1,0,0,0,5.5
1,,Puka Nacua,LAR,@DET,0,0,0.0,6,85,0.5,11.5,LA@DET,3.0,0,0,0,0,0,0,1,7,0,0,4,35,0,0,0,0,-8.5
1,,Chris Olave,NO,CAR,0,0,0.0,6,85,0.5,11.5,CAR@NO,1.0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,-10.5
1,,Rashee Rice,KC,BAL,0,0,0.0,7,83,0.5,11.3,BAL@KC,10.0,0,0,0,0,0,0,0,0,0,0,7,103,0,0,0,0,-1.3000000000000007
1,,Ja'Marr Chase,CIN,NE,0,0,0.0,6,82,0.5,11.2,NE@CIN,6.0,0,0,0,0,0,0,0,0,0,0,6,62,0,0,0,0,-5.199999999999999
1,,Mike Evans,TB,WAS,0,0,0.0,5,77,0.5,10.7,WAS@TB,18.0,0,0,0,0,0,0,0,0,0,0,5,61,2,0,0,0,7.300000000000001
1,,Nico Collins,HOU,@IND,0,0,0.0,5,75,0.5,10.5,HOU@IND,11.0,0,0,0,0,0,0,0,0,0,0,6,117,0,0,0,0,0.5
1,,Cooper Kupp,LAR,@DET,0,0,0.0,6,80,0.4,10.4,LA@DET,18.0,0,0,0,0,0,0,2,10,0,0,14,110,1,0,0,0,7.6
1,,Drake London,ATL,PIT,0,0,0.0,6,74,0.5,10.4,PIT@ATL,1.0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,-9.4
1,,DeVonta Smith,PHI,GB,0,0,0.0,5,74,0.5,10.4,GB@PHI,8.0,0,0,0,0,0,0,0,0,0,0,7,84,0,0,0,0,-2.4000000000000004
1,,Jaylen Waddle,MIA,JAC,0,0,0.0,6,76,0.4,10.0,JAX@MIA,10.0,0,0,0,0,0,0,1,3,0,0,5,109,0,0,0,0,0.0
1,,Amari Cooper,CLE,DAL,0,0,0.0,5,73,0.4,9.7,DAL@CLE,1.0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,-8.7
1,,Zay Flowers,BAL,@KC,0,0,0.0,6,73,0.4,9.7,BAL@KC,4.0,0,0,0,0,0,0,2,14,0,0,6,37,0,0,0,0,-5.699999999999999
1,,Christian Kirk,JAC,@MIA,0,0,0.0,5,73,0.4,9.7,JAX@MIA,3.0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,-6.699999999999999
1,,D.J. Moore,CHI,TEN,0,0,0.0,6,73,0.4,9.7,TEN@CHI,4.0,0,0,0,0,0,0,1,14,0,0,5,36,0,0,0,0,-5.699999999999999
1,,Calvin Ridley,TEN,@CHI,0,0,0.0,5,67,0.5,9.7,TEN@CHI,5.0,0,0,0,0,0,0,0,0,0,0,3,50,0,0,0,0,-4.699999999999999
1,,Chris Godwin,TB,WAS,0,0,0.0,6,71,0.4,9.5,WAS@TB,14.0,0,0,0,0,0,0,0,0,0,0,8,83,1,0,0,0,4.5
