Week,Chg,Player,Team,Opp,Att_Predicted,Yard,TD_Predicted,Rec_Predicted,Yard.1,TD.1_Predicted,FPts,Loc,Game,Pts*,Att_Actual,Cmp,Yds,TD_Actual,Int,2Pt,Att.1,Yds.1,TD.1_Actual,2Pt.1,Rec_Actual,Yds.2,TD.2,2Pt.2,FL,TD.3,Year,Net_score
1,,Cooper Kupp,LAR,BUF,0,0,0.0,8,106,1.0,16.6,Home,BUF@LA,18.0,0,0,0,0,0,0,0,0,0,0,13,128,1,0,0,0,2022,1.3999999999999986
1,,Ja'Marr Chase,CIN,PIT,0,0,0.0,8,98,1.0,15.8,Home,PIT@CIN,18.0,0,0,0,0,0,0,0,0,0,0,10,129,1,0,0,0,2022,2.1999999999999993
1,,Deebo Samuel,SF,CHI,6,32,0.0,5,65,1.0,15.7,Away,SF@CHI,11.0,0,0,0,0,0,0,8,52,1,0,2,14,0,0,1,0,2022,-4.699999999999999
1,,A.J. Brown,PHI,DET,0,0,0.0,7,95,1.0,15.5,Away,PHI@DET,15.0,0,0,0,0,0,0,0,0,0,0,10,155,0,0,0,0,2022,-0.5
1,,Davante Adams,LV,LAC,0,0,0.0,7,93,1.0,15.3,Away,LV@LAC,20.0,0,0,0,0,0,0,0,0,0,0,10,141,1,0,0,0,2022,4.699999999999999
1,,Justin Jefferson,MIN,GB,0,0,0.0,6,93,1.0,15.3,Home,GB@MIN,30.0,0,0,0,0,0,0,0,0,0,0,9,184,2,0,0,0,2022,14.7
1,,Marquise Brown,ARI,KC,2,9,0.0,6,82,1.0,15.1,Home,KC@ARI,10.0,0,0,0,0,0,0,0,0,0,0,4,43,1,0,0,0,2022,-5.1
1,,Keenan Allen,LAC,LV,0,0,0.0,8,87,1.0,14.7,Home,LV@LAC,6.0,0,0,0,0,0,0,0,0,0,0,4,66,0,0,0,0,2022,-8.7
1,,Courtland Sutton,DEN,SEA,0,0,0.0,8,87,1.0,14.7,Away,DEN@SEA,7.0,0,0,0,0,0,0,0,0,0,0,4,72,0,0,0,0,2022,-7.699999999999999
1,,Mike Evans,TB,DAL,0,0,0.0,8,86,1.0,14.6,Away,TB@DAL,13.0,0,0,0,0,0,0,0,0,0,0,5,71,1,0,0,0,2022,-1.5999999999999996
1,,Tyreek Hill,MIA,NE,2,9,0.0,5,73,1.0,14.2,Home,NE@MIA,9.0,0,0,0,0,0,0,1,6,0,0,8,94,0,0,0,0,2022,-5.199999999999999
1,,CeeDee Lamb,DAL,TB,0,0,0.0,6,82,1.0,14.2,Home,TB@DAL,2.0,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0,2022,-12.2
1,,Darnell Mooney,CHI,SF,0,0,0.0,6,82,1.0,14.2,Home,SF@CHI,0.0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,2022,-14.2
1,,Amon-Ra St. Brown,DET,PHI,0,0,0.0,7,82,1.0,14.2,Home,PHI@DET,12.0,0,0,0,0,0,0,0,0,0,0,8,64,1,0,0,0,2022,-2.1999999999999993
1,,Mike Williams,LAC,LV,0,0,0.0,6,79,1.0,13.9,Home,LV@LAC,1.0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,2022,-12.9
1,,Rashod Bateman,BAL,NYJ,0,0,0.0,6,78,1.0,13.8,Away,BAL@NYJ,11.0,0,0,0,0,0,0,0,0,0,0,2,59,1,0,0,0,2022,-2.8000000000000007
1,,Allen Robinson,LAR,BUF,0,0,0.0,5,78,1.0,13.8,Home,BUF@LA,1.0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,2022,-12.8
1,,Robert Woods,TEN,NYG,0,0,0.0,6,78,1.0,13.8,Home,NYG@TEN,1.0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,2022,-12.8
1,,Brandin Cooks,HOU,IND,0,0,0.0,6,77,1.0,13.7,Home,IND@HOU,8.0,0,0,0,0,0,0,0,0,0,0,7,82,0,0,0,0,2022,-5.699999999999999
1,,Terry McLaurin,WAS,JAC,0,0,0.0,6,77,1.0,13.7,Home,JAX@WAS,11.0,0,0,0,0,0,0,0,0,0,0,2,58,1,0,0,0,2022,-2.6999999999999993
1,,Stefon Diggs,BUF,LAR,0,0,0.0,7,75,1.0,13.5,Away,BUF@LA,18.0,0,0,0,0,0,0,0,0,0,0,8,122,1,0,0,0,2022,4.5
1,,Tee Higgins,CIN,PIT,0,0,0.0,6,75,1.0,13.5,Home,PIT@CIN,2.0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,2022,-11.5
1,,Christian Kirk,JAC,WAS,0,0,0.0,6,73,1.0,13.3,Away,JAX@WAS,11.0,0,0,0,0,0,0,0,0,0,0,6,117,0,0,0,0,2022,-2.3000000000000007
1,,Michael Thomas,NO,ATL,0,0,0.0,5,73,1.0,13.3,Away,NO@ATL,17.0,0,0,0,0,0,0,0,0,0,0,5,57,2,0,0,0,2022,3.6999999999999993
1,,Marquez Valdes-Scantling,KC,ARI,0,0,0.0,6,73,1.0,13.3,Away,KC@ARI,4.0,0,0,0,0,0,0,1,-3,0,0,4,44,0,0,0,0,2022,-9.3
1,,Nico Collins,HOU,IND,0,0,0.0,6,72,1.0,13.2,Home,IND@HOU,2.0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0,2022,-11.2
1,,D.J. Moore,CAR,CLE,0,0,0.0,6,72,1.0,13.2,Home,CLE@CAR,4.0,0,0,0,0,0,0,1,7,0,0,3,43,0,0,0,0,2022,-9.2
1,,Jerry Jeudy,DEN,SEA,0,0,0.0,4,68,1.0,12.8,Away,DEN@SEA,16.0,0,0,0,0,0,0,0,0,0,0,4,102,1,0,0,0,2022,3.1999999999999993
1,,Diontae Johnson,PIT,CIN,0,0,0.0,5,66,1.0,12.6,Away,PIT@CIN,5.0,0,0,0,0,0,0,0,0,0,0,7,55,0,0,0,0,2022,-7.6
1,,Elijah Moore,NYJ,BAL,0,0,0.0,4,66,1.0,12.6,Home,BAL@NYJ,4.0,0,0,0,0,0,0,0,0,0,0,5,49,0,0,0,0,2022,-8.6
1,,A.J. Green,ARI,KC,0,0,0.0,5,63,1.0,12.3,Home,KC@ARI,1.0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,2022,-11.3
1,,Adam Thielen,MIN,GB,0,0,0.0,5,62,1.0,12.2,Home,GB@MIN,3.0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0,2022,-9.2
1,,DeVante Parker,NE,MIA,0,0,0.0,5,59,1.0,11.9,Away,NE@MIA,0.0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,2022,-11.9
1,,JuJu Smith-Schuster,KC,ARI,0,0,0.0,4,54,1.0,11.4,Away,KC@ARI,6.0,0,0,0,0,0,0,0,0,0,0,6,79,0,0,1,0,2022,-5.4
1,,Corey Davis,NYJ,BAL,0,0,0.0,4,52,1.0,11.2,Home,BAL@NYJ,7.0,0,0,0,0,0,0,0,0,0,0,6,77,0,0,0,0,2022,-4.199999999999999
1,,Russell Gage,TB,DAL,0,0,0.0,4,52,1.0,11.2,Away,TB@DAL,1.0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,2022,-10.2
1,,Jaylen Waddle,MIA,NE,0,0,0.0,6,74,0.0,7.4,Home,NE@MIA,12.0,0,0,0,0,0,0,1,8,0,0,4,69,1,0,0,0,2022,4.6
1,,Hunter Renfrow,LV,LAC,0,0,0.0,6,69,0.0,6.9,Away,LV@LAC,2.0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,2022,-4.9
1,,Brandon Aiyuk,SF,CHI,0,0,0.0,5,64,0.0,6.4,Away,SF@CHI,4.0,0,0,0,0,0,0,1,7,0,0,2,40,0,0,0,0,2022,-2.4000000000000004
1,,Tyler Lockett,SEA,DEN,0,0,0.0,5,64,0.0,6.4,Home,DEN@SEA,2.0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0,2022,-4.4
1,,D.J. Chark,DET,PHI,0,0,0.0,5,62,0.0,6.2,Home,PHI@DET,11.0,0,0,0,0,0,0,0,0,0,0,4,52,1,0,0,0,2022,4.8
1,,Sammy Watkins,GB,MIN,0,0,0.0,5,61,0.0,6.1,Away,GB@MIN,1.0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,2022,-5.1
1,,Wan'Dale Robinson,NYG,TEN,2,10,0.0,4,49,0.0,5.9,Away,NYG@TEN,0.0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2022,-5.9
1,,Drake London,ATL,NO,0,0,0.0,4,58,0.0,5.8,Home,NO@ATL,7.0,0,0,0,0,0,0,0,0,0,0,5,74,0,0,0,0,2022,1.2000000000000002
1,,Jakobi Meyers,NE,MIA,0,0,0.0,4,58,0.0,5.8,Away,NE@MIA,5.0,0,0,0,0,0,0,1,7,0,0,4,55,0,0,0,0,2022,-0.7999999999999998
1,,Amari Cooper,CLE,CAR,0,0,0.0,4,55,0.0,5.5,Away,CLE@CAR,1.0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,2022,-4.5
2,,Cooper Kupp,LAR,ATL,0,0,0.0,8,109,1.0,16.9,Home,ATL@LA,21.0,0,0,0,0,0,0,0,0,0,0,11,108,2,0,1,0,2022,4.100000000000001
2,,Justin Jefferson,MIN,PHI,0,0,0.0,7,103,1.0,16.3,Away,MIN@PHI,4.0,0,0,0,0,0,0,0,0,0,0,6,48,0,0,0,0,2022,-12.3
