Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,season,PlayerURL
3,Ja'Marr Chase,CIN,WR,24,14,14,0,0,0,0,0,2,25,12.50,0,138,102,1413,13.85,15,0,0,15,,,234.0,335.8,338.8,284.8,123,1,3,2024,https://www.pro-football-reference.com/players/C/ChasJa00.htm
12,Justin Jefferson,MIN,WR,25,14,14,1,1,22,0,0,1,3,3.00,0,120,82,1243,15.16,8,1,0,8,,,173.0,255.5,258.5,214.5,66,2,12,2024,https://www.pro-football-reference.com/players/J/JeffJu00.htm
16,Amon-Ra St. Brown,DET,WR,25,14,14,1,1,7,1,0,2,6,3.00,0,116,95,1056,11.12,10,1,1,10,,,168.0,263.5,267.5,216.0,62,3,16,2024,https://www.pro-football-reference.com/players/S/StxxAm00.htm
19,Terry McLaurin,WAS,WR,29,14,14,0,0,0,0,0,2,2,1.00,0,92,68,969,14.25,11,1,1,11,,,161.0,229.1,233.1,195.1,55,4,19,2024,https://www.pro-football-reference.com/players/M/McLaTe00.htm
24,CeeDee Lamb,DAL,WR,25,14,14,0,0,0,0,0,14,70,5.00,0,144,94,1089,11.59,6,1,1,6,1,,152.0,245.9,249.9,198.9,46,5,24,2024,https://www.pro-football-reference.com/players/L/LambCe00.htm
25,Brian Thomas,JAX,WR,22,14,13,0,0,0,0,0,5,30,6.00,0,99,64,956,14.94,8,0,0,8,2,,151.0,214.6,217.6,182.6,45,6,25,2024,https://www.pro-football-reference.com/players/T/ThomBr06.htm
32,Drake London,ATL,WR,23,14,14,0,0,0,0,0,1,-3,-3.00,0,119,78,919,11.78,7,0,0,7,,,134.0,211.6,214.6,172.6,29,7,32,2024,https://www.pro-football-reference.com/players/L/LondDr00.htm
33,Jerry Jeudy,CLE,WR,25,14,13,0,0,0,0,0,0,0,,0,111,70,1052,15.03,4,0,0,4,2,,133.0,203.2,206.2,168.2,29,8,33,2024,https://www.pro-football-reference.com/players/J/JeudJe00.htm
35,Jaxon Smith-Njigba,SEA,WR,22,14,13,1,1,35,0,0,3,17,5.67,0,114,85,994,11.69,5,1,0,5,,,133.0,217.5,220.5,175.0,28,9,35,2024,https://www.pro-football-reference.com/players/S/SmitJa06.htm
36,Jayden Reed,GNB,WR,24,14,8,0,0,0,0,0,16,155,9.69,1,65,49,727,14.84,6,2,0,7,,,130.0,179.2,185.2,154.7,26,10,36,2024,https://www.pro-football-reference.com/players/R/ReedJa03.htm
37,Garrett Wilson,NYJ,WR,24,14,14,0,0,0,0,0,1,5,5.00,0,134,84,933,11.11,6,1,1,6,1,,130.0,213.8,217.8,171.8,25,11,37,2024,https://www.pro-football-reference.com/players/W/WilsGa00.htm
39,Mike Evans,TAM,WR,31,11,11,0,0,0,0,0,0,0,,0,79,52,749,14.40,9,0,0,9,,,129.0,180.9,183.9,154.9,24,12,39,2024,https://www.pro-football-reference.com/players/E/EvanMi00.htm
41,Courtland Sutton,DEN,WR,29,14,11,2,2,30,1,0,0,0,,0,113,66,878,13.30,6,1,1,6,,,127.0,193.0,197.0,160.0,23,14,41,2024,https://www.pro-football-reference.com/players/S/SuttCo00.htm
40,Jordan Addison,MIN,WR,22,12,12,0,0,0,0,0,3,20,6.67,1,77,51,771,15.12,7,0,0,8,,,127.0,178.1,181.1,152.6,23,13,40,2024,https://www.pro-football-reference.com/players/A/AddiJo00.htm
44,A.J. Brown,PHI,WR,27,11,11,0,0,0,0,0,0,0,,0,77,56,946,16.89,5,0,0,5,,,125.0,180.6,183.6,152.6,20,15,44,2024,https://www.pro-football-reference.com/players/B/BrowAJ00.htm
45,Davante Adams,2TM,WR,32,11,11,0,0,0,0,0,0,0,,0,108,67,860,12.84,6,0,0,6,1,,124.0,191.0,194.0,157.5,20,16,45,2024,https://www.pro-football-reference.com/players/A/AdamDa01.htm
